circuitId,circuitRef,name_x,location,country,lat,lng,alt,url,name_y,Last length used,Turns,image_url,local_image_path
56,george,Prince George Circuit,Eastern Cape Province,South Africa,-33.0486,27.8736,15,http://en.wikipedia.org/wiki/Prince_George_Circuit,Prince George Circuit,3.920Â km (2.436Â mi),8,https://upload.wikimedia.org/wikipedia/commons/2/2d/Prince_George_Circuit.svg,
57,zeltweg,Zeltweg,Styria,Austria,47.2039,14.7478,676,http://en.wikipedia.org/wiki/Zeltweg_Airfield,Zeltweg Airfield,3.186Â km (1.980Â mi),4,https://upload.wikimedia.org/wikipedia/commons/a/a4/Circuit_Zeltweg.png,
58,aintree,Aintree,Liverpool,UK,53.4769,-2.94056,20,http://en.wikipedia.org/wiki/Aintree_Motor_Racing_Circuit,Aintree Motor Racing Circuit,4.828Â km (3.000Â mi),12,https://upload.wikimedia.org/wikipedia/commons/3/35/Circuit_Aintree.svg,
59,boavista,Circuito da Boavista,Oporto,Portugal,41.1705,-8.67325,28,http://en.wikipedia.org/wiki/Circuito_da_Boavista,Circuito da Boavista,7.775Â km (4.831Â mi),15,https://upload.wikimedia.org/wikipedia/commons/e/ea/Boavista_%28Oporto%29.svg,
60,riverside,Riverside International Raceway,California,USA,33.937,-117.273,470,http://en.wikipedia.org/wiki/Riverside_International_Raceway,Riverside International Raceway,5.271Â km (3.275Â mi),9,https://upload.wikimedia.org/wikipedia/commons/5/5d/Riverside_International_Raceway_1967.svg,
61,avus,AVUS,Berlin,Germany,52.4806,13.2514,53,http://en.wikipedia.org/wiki/AVUS,AVUS,8.300Â km (5.157Â mi),4,https://upload.wikimedia.org/wikipedia/commons/6/6d/Circuit_AVUS.svg,
62,monsanto,Monsanto Park Circuit,Lisbon,Portugal,38.7197,-9.20306,158,http://en.wikipedia.org/wiki/Monsanto_Park_Circuit,Circuito de Monsanto,5.440Â km (3.380Â mi),9,https://upload.wikimedia.org/wikipedia/commons/d/de/Circuit_Monsanto.png,
63,sebring,Sebring International Raceway,Florida,USA,27.4547,-81.3483,18,http://en.wikipedia.org/wiki/Sebring_Raceway,Sebring Raceway,8.356Â km (5.192Â mi),12,https://upload.wikimedia.org/wikipedia/commons/3/39/Sebring_International_Raceway_-_Historical_%281952%29.svg,
64,ain-diab,Ain Diab,Casablanca,Morocco,33.5786,-7.6875,19,http://en.wikipedia.org/wiki/Ain-Diab_Circuit,Ain-Diab Circuit,7.618Â km (4.734Â mi),18,https://upload.wikimedia.org/wikipedia/commons/a/a4/Ain-Diab.svg,
65,pescara,Pescara Circuit,Pescara,Italy,42.475,14.1508,129,http://en.wikipedia.org/wiki/Pescara_Circuit,Pescara Circuit,25.800Â km (16.031Â mi),24*,https://upload.wikimedia.org/wikipedia/commons/a/a8/Circuit_Pescara.svg,
66,bremgarten,Circuit Bremgarten,Bern,Switzerland,46.9589,7.40194,551,http://en.wikipedia.org/wiki/Circuit_Bremgarten,Circuit Bremgarten,7.208Â km (4.479Â mi),14,https://upload.wikimedia.org/wikipedia/commons/e/e7/Circuit_Bremgarten.svg,
67,pedralbes,Circuit de Pedralbes,Barcelona,Spain,41.3903,2.11667,85,http://en.wikipedia.org/wiki/Pedralbes_Circuit,Circuit de Pedralbes,6.316Â km (3.925Â mi),6,https://upload.wikimedia.org/wikipedia/commons/5/59/Circuit_Pedralbes.png,
68,buddh,Buddh International Circuit,Uttar Pradesh,India,28.3487,77.5331,194,http://en.wikipedia.org/wiki/Buddh_International_Circuit,Buddh International Circuit,5.141Â km (3.194Â mi),16,https://upload.wikimedia.org/wikipedia/commons/2/26/Buddh_Circuit_1.svg,
69,americas,Circuit of the Americas,Austin,USA,30.1328,-97.6411,161,http://en.wikipedia.org/wiki/Circuit_of_the_Americas,Circuit of the Americas,5.513Â km (3.426Â mi),20,https://upload.wikimedia.org/wikipedia/commons/a/a5/Austin_circuit.svg,
70,red_bull_ring,Red Bull Ring,Spielberg,Austria,47.2197,14.7647,678,http://en.wikipedia.org/wiki/Red_Bull_Ring,Red Bull Ring,4.318Â km (2.683Â mi),10,https://upload.wikimedia.org/wikipedia/commons/4/4e/Spielberg_bare_map_numbers_contextless_2021_corner_names.svg,
71,sochi,Sochi Autodrom,Sochi,Russia,43.4057,39.9578,2,http://en.wikipedia.org/wiki/Sochi_Autodrom,Sochi Autodrom,5.848Â km (3.634Â mi),15,https://upload.wikimedia.org/wikipedia/commons/d/d3/Circuit_Sochi.svg,
73,baku,Baku City Circuit,Baku,Azerbaijan,40.3725,49.8533,-7,http://en.wikipedia.org/wiki/Baku_City_Circuit,Baku City Circuit,6.003Â km (3.730Â mi),20,https://upload.wikimedia.org/wikipedia/commons/f/f1/Baku_Formula_One_circuit_map.svg,
75,portimao,Autódromo Internacional do Algarve,Portimão,Portugal,37.227,-8.6267,108,http://en.wikipedia.org/wiki/Algarve_International_Circuit,Algarve International Circuit,4.653Â km (2.891Â mi),15,https://upload.wikimedia.org/wikipedia/commons/0/0a/Aut%C3%B3dromo_do_Algarve_F1_Sectors.svg,
76,mugello,Autodromo Internazionale del Mugello,Mugello,Italy,43.9975,11.3719,255,http://en.wikipedia.org/wiki/Mugello_Circuit,Autodromo Internazionale del Mugello,5.245Â km (3.259Â mi),14,https://upload.wikimedia.org/wikipedia/commons/3/38/Mugello_Racing_Circuit_track_map_15_turns.svg,
77,jeddah,Jeddah Corniche Circuit,Jeddah,Saudi Arabia,21.6319,39.1044,15,http://en.wikipedia.org/wiki/Jeddah_Street_Circuit,Jeddah Corniche Circuit,6.174Â km (3.836Â mi),27,https://upload.wikimedia.org/wikipedia/commons/4/4c/Jeddah_Street_Circuit_2021.svg,
78,losail,Losail International Circuit,Al Daayen,Qatar,25.49,51.4542,12,http://en.wikipedia.org/wiki/Losail_International_Circuit,Lusail International Circuit,5.419Â km (3.367Â mi),16,https://upload.wikimedia.org/wikipedia/commons/c/c7/Lusail_International_Circuit_2023.svg,
79,miami,Miami International Autodrome,Miami,USA,25.9581,-80.2389,0,http://en.wikipedia.org/wiki/Miami_International_Autodrome,Miami International Autodrome,5.412Â km (3.363Â mi),18,https://upload.wikimedia.org/wikipedia/commons/4/49/Hard_Rock_Stadium_Circuit_2022.svg,
